Li,B,C,Mg,Al,Si,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Y,Zr,Nb,Mo,Sn,Hf,Ta,W,Phases,HV,Delta,Gamma,Enthalpy of Mixing,Electronegativity,VEC,Configurational Entropy,Weighted Melting Temperature,Yang Parameter,Asymmetry,e/a
0,0,0,0,0,0,0,0.166666667,0,0.166666667,0,0.166666667,0.25,0.25,0,0,0,0,0,0,0,0,0,0,FCC + Im,654,6.247995391,1.197331716,-15.61111115,0.138230383,7.750000006,13.21190489,1589.666668,1.345357459,0.233171967,1.065833334
0,0,0,0,0.058823529,0,0,0,0,0.235294118,0,0.235294118,0.235294118,0.235294118,0,0,0,0,0,0,0,0,0,0,FCC,110,3.478013805,1.171066633,-6.754325251,0.106026046,7.941176481,12.70837101,1543.548237,2.904210701,0.22070801,1.155882353
0,0,0,0,0.058823529,0,0,0,0,0.235294118,0,0.235294118,0.235294118,0.235294118,0,0,0,0,0,0,0,0,0,0,FCC,113,3.478013805,1.171066633,-6.754325251,0.106026046,7.941176481,12.70837101,1543.548237,2.904210701,0.22070801,1.155882353
0,0,0,0,0.085714286,0,0,0,0,0.228571429,0,0.228571429,0.228571429,0.228571429,0,0,0,0,0,0,0,0,0,0,FCC,131,4.11713403,1.170773755,-7.993469425,0.109565375,7.800000015,12.97037544,1518.313146,2.463647571,0.249729209,1.208857146
0,0,0,0,0.085714286,0,0,0,0,0.228571429,0,0.228571429,0.228571429,0.228571429,0,0,0,0,0,0,0,0,0,0,FCC,196,4.11713403,1.170773755,-7.993469425,0.109565375,7.800000015,12.97037544,1518.313146,2.463647571,0.249729209,1.208857146
0,0,0,0,0.111111111,0,0,0,0,0.222222222,0,0.222222222,0.222222222,0.222222222,0,0,0,0,0,0,0,0,0,0,FCC + BCC,159,4.602314544,1.17049825,-9.086419735,0.112546287,7.666666659,13.14594488,1494.479999,2.162166426,0.274771845,1.258888888
0,0,0,0,0.111111111,0,0,0,0,0.222222222,0,0.222222222,0.222222222,0.222222222,0,0,0,0,0,0,0,0,0,0,FCC + BCC,209,4.602314544,1.17049825,-9.086419735,0.112546287,7.666666659,13.14594488,1494.479999,2.162166426,0.274771845,1.258888888
0,0,0,0,0.14893617,0,0,0,0,0.212765957,0,0.212765957,0.212765957,0.212765957,0,0,0,0,0,0,0,0,0,0,FCC + BCC + B2,624,5.18269723,1.170089892,-10.57492074,0.116392897,7.468085091,13.30882984,1458.983827,1.836171444,0.309017903,1.333404253
0,0,0,0,0.157894737,0,0,0,0,0.210526316,0,0.210526316,0.210526316,0.210526316,0,0,0,0,0,0,0,0,0,0,FCC + BCC,388,5.300811692,1.169993518,-10.90304711,0.117206639,7.421052639,13.33280705,1450.576844,1.773840007,0.316704227,1.351052633
0,0,0,0,0.157894737,0,0,0,0,0.210526316,0,0.210526316,0.210526316,0.210526316,0,0,0,0,0,0,0,0,0,0,FCC + BCC,280,5.300811692,1.169993518,-10.90304711,0.117206639,7.421052639,13.33280705,1450.576844,1.773840007,0.316704227,1.351052633
